country_name,Cluster,Cluster_Name
Algeria,3,North African Reformers
Bahrain,1,High-Income Empowerers
"Egypt, Arab Rep.",2,Fragile States
"Iran, Islamic Rep.",2,Fragile States
Iraq,2,Fragile States
Jordan,2,Fragile States
Kuwait,1,High-Income Empowerers
Lebanon,0,Lebanon Outlier
Libya,3,North African Reformers
Morocco,3,North African Reformers
Oman,1,High-Income Empowerers
Qatar,1,High-Income Empowerers
Saudi Arabia,1,High-Income Empowerers
Syrian Arab Republic,2,Fragile States
Tunisia,3,North African Reformers
United Arab Emirates,1,High-Income Empowerers
West Bank and Gaza,4,Palestine
"Yemen, Rep.",2,Fragile States
